(58, 71, 0.4999454752232868)
(61, 69, 0.4999454752232868)
(64, 68, 0.4999454752232868)
(67, 66, 0.4999454752232868)
(67, 66, -0.8676520202649396)
(67, 66, 0.973206024225794)
(67, 66, -1.2778464327172876)
(67, 66, -0.6987630356068362)
(70, 68, -0.6987630356068362)
(70, 68, 1.3767894235112257)
(70, 65, 1.3767894235112257)
(70, 65, -2.3037103975454056)
(68, 67, -2.3037103975454056)
(66, 70, -2.3037103975454056)
(66, 70, -1.8180108221109055)
(65, 73, -1.8180108221109055)
(64, 76, -1.8180108221109055)
(63, 80, -1.8180108221109055)
(63, 83, -1.8180108221109055)
(63, 83, 0.2377619741774195)
(66, 82, 0.2377619741774195)
(69, 81, 0.2377619741774195)
(72, 81, 0.2377619741774195)
(76, 80, 0.2377619741774195)
(79, 79, 0.2377619741774195)
(82, 78, 0.2377619741774195)
(85, 77, 0.2377619741774195)
(89, 77, 0.2377619741774195)
(92, 76, 0.2377619741774195)
(95, 75, 0.2377619741774195)
(98, 74, 0.2377619741774195)
(102, 73, 0.2377619741774195)
(105, 73, 0.2377619741774195)
(105, 72, -2.25568953803581)
(103, 75, -2.25568953803581)
(101, 78, -2.25568953803581)
(101, 78, -2.5101738497572788)
(98, 80, -2.5101738497572788)
(98, 80, 3.074367495072363)
(98, 80, -0.12100443409623907)
(102, 80, -0.12100443409623907)
(102, 80, 3.077178485057611)
(102, 80, 0.8329115755832128)
(104, 78, 0.8329115755832128)
(106, 75, 0.8329115755832128)
(109, 73, 0.8329115755832128)
(111, 71, 0.8329115755832128)
(114, 68, 0.8329115755832128)
(114, 68, -0.6043127900574712)
(117, 70, -0.6043127900574712)
